SharerID,SharedID,Stops
10765,10015,0
12775,10015,0
15670,10015,0
16240,10015,0
16435,10015,0
16435,10015,0
16810,10015,0
16810,10015,0
16840,10015,0
18085,10015,0
18400,10015,0
18685,10015,0
19555,10015,0
19600,10015,0
20755,10015,0
20875,10015,0
21370,10015,0
10465,10045,0
11545,10045,0
11545,10045,0
11980,10045,0
12790,10045,0
12850,10045,0
13750,10045,0
14320,10045,0
16270,10045,0
16375,10045,0
16375,10045,0
16390,10045,0
16720,10045,0
17620,10045,0
18190,10045,0
19150,10045,0
19270,10045,0
20815,10045,0
21085,10045,0
21400,10045,0
10195,10060,0
10195,10060,0
11200,10060,0
11740,10060,0
15760,10060,0
16000,10060,0
16555,10060,0
18565,10060,0
18640,10060,0
19765,10060,0
21520,10060,0
21520,10060,0
21535,10060,0
21535,10060,0
10960,10075,0
11095,10075,0
13375,10075,0
13495,10075,0
14530,10075,0
14800,10075,0
17230,10075,0
17590,10075,0
17590,10075,0
17590,10075,0
17830,10075,0
19375,10075,0
19570,10075,0
19570,10075,0
20740,10075,0
20740,10075,0
20740,10075,0
21295,10075,0
21295,10075,0
21580,10075,0
13600,10090,0
13600,10090,0
14815,10090,0
15610,10090,0
16390,10090,0
16570,10090,0
10315,10105,0
11095,10105,0
12160,10105,0
12175,10105,0
12610,10105,0
13720,10105,0
14035,10105,0
14740,10105,0
15130,10105,0
15130,10105,0
15745,10105,0
15790,10105,0
17575,10105,0
17575,10105,0
17680,10105,0
18235,10105,0
18715,10105,0
18805,10105,0
19825,10105,0
19900,10105,0
19900,10105,0
20560,10105,0
20785,10105,0
11230,10120,0
11800,10120,0
11800,10120,0
13450,10120,0
13450,10120,0
13645,10120,0
13645,10120,0
14320,10120,0
15535,10120,0
17905,10120,0
21880,10120,0
14335,10135,0
15520,10135,0
16165,10135,0
16165,10135,0
16240,10135,0
17170,10135,0
17365,10135,0
19180,10135,0
20110,10135,0
16075,10150,0
17125,10150,0
17380,10150,0
17695,10150,0
19315,10150,0
20650,10150,0
20950,10150,0
11515,10165,0
13900,10165,0
14605,10165,0
20545,10165,0
11680,10180,0
15580,10180,0
16225,10180,0
20230,10180,0
20950,10180,0
11830,10195,0
12235,10195,0
12400,10195,0
13135,10195,0
13720,10195,0
14335,10195,0
14800,10195,0
15385,10195,0
15640,10195,0
15640,10195,0
15640,10195,0
15640,10195,0
15640,10195,0
16345,10195,0
16345,10195,0
17845,10195,0
18610,10195,0
19075,10195,0
19690,10195,0
11035,10210,0
11095,10210,0
11095,10210,0
13150,10210,0
13720,10210,0
16030,10210,0
16885,10210,0
21460,10210,0
21460,10210,0
13810,10225,0
13810,10225,0
14575,10225,0
15085,10225,0
16195,10225,0
10885,10240,0
11365,10240,0
11365,10240,0
11380,10240,0
11380,10240,0
12715,10240,0
14395,10240,0
16735,10240,0
17185,10240,0
17350,10240,0
17995,10240,0
18175,10240,0
18835,10240,0
19045,10240,0
19645,10240,0
20965,10240,0
21520,10240,0
21520,10240,0
21520,10240,0
17365,10255,0
18025,10255,0
18025,10255,0
18025,10255,0
21670,10255,0
11290,10270,0
11470,10270,0
14545,10270,0
14545,10270,0
14545,10270,0
14545,10270,0
17320,10270,0
18280,10270,0
18280,10270,0
18295,10270,0
19615,10270,0
21385,10270,0
21385,10270,0
10780,10285,0
12130,10285,0
12190,10285,0
13180,10285,0
13180,10285,0
13180,10285,0
13285,10285,0
14500,10285,0
15625,10285,0
17410,10285,0
17410,10285,0
17410,10285,0
18310,10285,0
18310,10285,0
21190,10285,0
21490,10285,0
10045,10300,0
11320,10300,0
14395,10300,0
14395,10300,0
17005,10300,0
11125,10315,0
12955,10315,0
12985,10315,0
12985,10315,0
12985,10315,0
13075,10315,0
13930,10315,0
14650,10315,0
16660,10315,0
17065,10315,0
17335,10315,0
17335,10315,0
17350,10315,0
17350,10315,0
17965,10315,0
19510,10315,0
19510,10315,0
19660,10315,0
12430,10330,0
12430,10330,0
12430,10330,0
12430,10330,0
12430,10330,0
12490,10330,0
13225,10330,0
14095,10330,0
14290,10330,0
14290,10330,0
15985,10330,0
16840,10330,0
17050,10330,0
12160,10345,0
12355,10345,0
12355,10345,0
12355,10345,0
12760,10345,0
13360,10345,0
14005,10345,0
14035,10345,0
14335,10345,0
16525,10345,0
16525,10345,0
17860,10345,0
17950,10345,0
17950,10345,0
21430,10345,0
10585,10360,0
11545,10360,0
11545,10360,0
11545,10360,0
11620,10360,0
12445,10360,0
14005,10360,0
15835,10360,0
17245,10360,0
17245,10360,0
17680,10360,0
18310,10360,0
18835,10360,0
19150,10360,0
19150,10360,0
10120,10375,0
10660,10375,0
10660,10375,0
11695,10375,0
12100,10375,0
13030,10375,0
13270,10375,0
13270,10375,0
14275,10375,0
14395,10375,0
15820,10375,0
15820,10375,0
15925,10375,0
16135,10375,0
16930,10375,0
17350,10375,0
18550,10375,0
19030,10375,0
19330,10375,0
19600,10375,0
19600,10375,0
19720,10375,0
21505,10375,0
21895,10375,0
11725,10390,0
12175,10390,0
13855,10390,0
14260,10390,0
17650,10390,0
17650,10390,0
17920,10390,0
18295,10390,0
18385,10390,0
19855,10390,0
13360,10405,0
13360,10405,0
13585,10405,0
13585,10405,0
14200,10405,0
14590,10405,0
15610,10405,0
17875,10405,0
17890,10405,0
17890,10405,0
18490,10405,0
18760,10405,0
18985,10405,0
19885,10405,0
10720,10420,0
12130,10420,0
12460,10420,0
12565,10420,0
12940,10420,0
13420,10420,0
13600,10420,0
14455,10420,0
17455,10420,0
18655,10420,0
19285,10420,0
19615,10420,0
20470,10420,0
20470,10420,0
21550,10420,0
21580,10420,0
10660,10435,0
11410,10435,0
11410,10435,0
11725,10435,0
12475,10435,0
14860,10435,0
15550,10435,0
17200,10435,0
10750,10450,0
11380,10450,0
12340,10450,0
12925,10450,0
12925,10450,0
12955,10450,0
13525,10450,0
15700,10450,0
15985,10450,0
16030,10450,0
16225,10450,0
17980,10450,0
21190,10450,0
21190,10450,0
21565,10450,0
11290,10465,0
11440,10465,0
11740,10465,0
11740,10465,0
13915,10465,0
13990,10465,0
15025,10465,0
15175,10465,0
16570,10465,0
16810,10465,0
18085,10465,0
18085,10465,0
19300,10465,0
19300,10465,0
19915,10465,0
12775,10480,0
12775,10480,0
14560,10480,0
19825,10480,0
20230,10480,0
11575,10495,0
13735,10495,0
15175,10495,0
15175,10495,0
16045,10495,0
16525,10495,0
17260,10495,0
18655,10495,0
11800,10510,0
12745,10510,0
13735,10510,0
13735,10510,0
14470,10510,0
17365,10510,0
17725,10510,0
18490,10510,0
20980,10510,0
10555,10525,0
12730,10525,0
12730,10525,0
14275,10525,0
14275,10525,0
15325,10525,0
15520,10525,0
15520,10525,0
16555,10525,0
21205,10525,0
13735,10540,0
13735,10540,0
15040,10540,0
15385,10540,0
17485,10540,0
19810,10540,0
11215,10555,0
11215,10555,0
11260,10555,0
12130,10555,0
12955,10555,0
13270,10555,0
13270,10555,0
13270,10555,0
13615,10555,0
13900,10555,0
14110,10555,0
14740,10555,0
14740,10555,0
14965,10555,0
15730,10555,0
16240,10555,0
17920,10555,0
17935,10555,0
18550,10555,0
18850,10555,0
18850,10555,0
19165,10555,0
19375,10555,0
19840,10555,0
19840,10555,0
20710,10555,0
21010,10555,0
21280,10555,0
21880,10555,0
10600,10570,0
10750,10570,0
10750,10570,0
10750,10570,0
10750,10570,0
10795,10570,0
12460,10570,0
13045,10570,0
13285,10570,0
13405,10570,0
13660,10570,0
14110,10570,0
15250,10570,0
17920,10570,0
18685,10570,0
18910,10570,0
18910,10570,0
18925,10570,0
19105,10570,0
19150,10570,0
19450,10570,0
20080,10570,0
20080,10570,0
21385,10570,0
21820,10570,0
21820,10570,0
10675,10585,0
11260,10585,0
11920,10585,0
12175,10585,0
12610,10585,0
13435,10585,0
13705,10585,0
14065,10585,0
14200,10585,0
14200,10585,0
14740,10585,0
15595,10585,0
15805,10585,0
18580,10585,0
18670,10585,0
18670,10585,0
20590,10585,0
20590,10585,0
21010,10585,0
21520,10585,0
21775,10585,0
11395,10600,0
11740,10600,0
12655,10600,0
13330,10600,0
13975,10600,0
13975,10600,0
14020,10600,0
15130,10600,0
15310,10600,0
15310,10600,0
15430,10600,0
16675,10600,0
16945,10600,0
18385,10600,0
21655,10600,0
21655,10600,0
21655,10600,0
10870,10615,0
12400,10615,0
13180,10615,0
13180,10615,0
15460,10615,0
15565,10615,0
15745,10615,0
16120,10615,0
16120,10615,0
16180,10615,0
16180,10615,0
16855,10615,0
16855,10615,0
17140,10615,0
17140,10615,0
18550,10615,0
18940,10615,0
20215,10615,0
20215,10615,0
20215,10615,0
10930,10630,0
11920,10630,0
11920,10630,0
12220,10630,0
13735,10630,0
13885,10630,0
14920,10630,0
14920,10630,0
14920,10630,0
16330,10630,0
16570,10630,0
16705,10630,0
17590,10630,0
17590,10630,0
18430,10630,0
18565,10630,0
11950,10645,0
12490,10645,0
12850,10645,0
13975,10645,0
13975,10645,0
14095,10645,0
15025,10645,0
15040,10645,0
15190,10645,0
15715,10645,0
15715,10645,0
19180,10645,0
19585,10645,0
20305,10645,0
20590,10645,0
10360,10660,0
10375,10660,0
12100,10660,0
12235,10660,0
13210,10660,0
13915,10660,0
14335,10660,0
15250,10660,0
16405,10660,0
16405,10660,0
16525,10660,0
16525,10660,0
17740,10660,0
18715,10660,0
18715,10660,0
19780,10660,0
20035,10660,0
20500,10660,0
21565,10660,0
12430,10675,0
12430,10675,0
13240,10675,0
13240,10675,0
13390,10675,0
13750,10675,0
16750,10675,0
16915,10675,0
16915,10675,0
18340,10675,0
18610,10675,0
18610,10675,0
18610,10675,0
18610,10675,0
19270,10675,0
19885,10675,0
20380,10675,0
21415,10675,0
10165,10690,0
11890,10690,0
13075,10690,0
15130,10690,0
20395,10690,0
21835,10690,0
21835,10690,0
10195,10705,0
12415,10705,0
13255,10705,0
13810,10705,0
11860,10720,0
12595,10720,0
13195,10720,0
14815,10720,0
18655,10720,0
18910,10720,0
18910,10720,0
18910,10720,0
20215,10720,0
20635,10720,0
21205,10720,0
14185,10735,0
18310,10735,0
18910,10735,0
19495,10735,0
20635,10735,0
20710,10735,0
20710,10735,0
10330,10750,0
10465,10750,0
12040,10750,0
13315,10750,0
13435,10750,0
13480,10750,0
13855,10750,0
14380,10750,0
14380,10750,0
16420,10750,0
16780,10750,0
16780,10750,0
16900,10750,0
17680,10750,0
18625,10750,0
18625,10750,0
18625,10750,0
18625,10750,0
20695,10750,0
21010,10750,0
10315,10765,0
11710,10765,0
13045,10765,0
13330,10765,0
13330,10765,0
13330,10765,0
13330,10765,0
14485,10765,0
16570,10765,0
17350,10765,0
17350,10765,0
18445,10765,0
18445,10765,0
21205,10765,0
11905,10780,0
11905,10780,0
11980,10780,0
13465,10780,0
14440,10780,0
15385,10780,0
15670,10780,0
18415,10780,0
18415,10780,0
18580,10780,0
18835,10780,0
20305,10780,0
14170,10795,0
14365,10795,0
20545,10795,0
20785,10795,0
10135,10810,0
10135,10810,0
10135,10810,0
10135,10810,0
12490,10810,0
12880,10810,0
12955,10810,0
13150,10810,0
13435,10810,0
14440,10810,0
14440,10810,0
15340,10810,0
16165,10810,0
16165,10810,0
